Maxwell2 5097 4769
 0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000
-0.8978 -0.8978 -0.8978  0.8982  0.8982  0.8982
-0.9144 -0.9144 -0.9144  0.9148  0.9148  0.9148
-0.9310 -0.9310 -0.9310  0.9314  0.9314  0.9314
-0.9476 -0.9476 -0.9476  0.9480  0.9480  0.9480
-0.9642 -0.9642 -0.9642  0.9647  0.9647  0.9647
-0.9808 -0.9808 -0.9808  0.9813  0.9813  0.9813
-0.9891 -0.9891 -0.9891  0.9901  0.9901  0.9901
-0.9904 -0.9904 -0.9904  0.9913  0.9913  0.9913
-0.9918 -0.9918 -0.9918  0.9925  0.9925  0.9925
-0.9931 -0.9931 -0.9931  0.9938  0.9938  0.9938
-0.9944 -0.9944 -0.9944  0.9950  0.9950  0.9950
-0.9958 -0.9958 -0.9958  0.9962  0.9962  0.9962
-0.9971 -0.9971 -0.9971  0.9974  0.9974  0.9974
-0.9984 -0.9984 -0.9984  0.9986  0.9986  0.9986
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9998  0.9998  0.9998
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
-0.9997 -0.9997 -0.9997  0.9999  0.9999  0.9999
